"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @IPL: My ( @msdhoni ) introduction to #TwitterMirror . India are you watching? @ChennaiIPL #whistlepodu #PepsiIPL http://t.co/2zPuIOLygI",FALSE,0,NA,2013-04-03 07:48:39,FALSE,NA,"319355752089264128",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",403,TRUE,FALSE,NA,NA
"Me and raizel http://t.co/fUXTx7ewiX",FALSE,1032,NA,2013-03-24 13:29:01,FALSE,NA,"315817528985255936",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",293,FALSE,FALSE,NA,NA
"http://t.co/OGaCX3w9hW",FALSE,767,NA,2013-03-05 15:26:42,FALSE,NA,"308961778669346816",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",199,FALSE,FALSE,NA,NA
"Fantastic start to the season by MAHI RACING TEAM INDIA.Keenan came 1st and fabien came 4th.nxt race on 14th april",FALSE,793,NA,2013-03-05 15:16:35,FALSE,NA,"308959232819097600",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",228,FALSE,FALSE,NA,NA
"Saving 3 penalty corner in a row was a fantastic performance under pressure and the game changed from there.celebrate the evening boys",FALSE,861,NA,2013-02-10 16:29:29,FALSE,NA,"300642655505891328",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",259,FALSE,FALSE,NA,NA
"@sardesairajdeep yes Jharkhand well known as the hockey belt,will do a lot of good for the upcoming players",FALSE,238,"sardesairajdeep",2013-02-10 16:27:05,FALSE,"300641429070413824","300642052822138880","56304605","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",63,FALSE,FALSE,NA,NA
"Watching the game was a lot of fun,time for dinner now.1st time ever tht I watched any sort of game with the whole family",FALSE,819,NA,2013-02-10 16:22:24,FALSE,NA,"300640872335302658",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",205,FALSE,FALSE,NA,NA
"Well done Ranchi Rhinos on winning the Hockey India League.fantastic support by the Ranchi people",FALSE,834,NA,2013-02-10 16:20:39,FALSE,NA,"300640433996959744",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",358,FALSE,FALSE,NA,NA
"@Surajpathak18 take a guess",FALSE,211,NA,2013-02-01 10:27:41,FALSE,NA,"297290114617470976",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",30,FALSE,FALSE,NA,NA
"@striking_07 let's take some time off cricket",FALSE,216,"imselvendrajan3",2013-02-01 10:09:51,FALSE,"297285346142593024","297285626796048384","1008134191","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",35,FALSE,FALSE,NA,NA
"@Abdullaa33 Hummer H-1 but sadly they don't produce it for civilians anymore.last batch came in 2006",FALSE,210,"Abdullaa33",2013-02-01 10:08:52,FALSE,"297284618464399360","297285378707189760","379239440","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",42,FALSE,FALSE,NA,NA
"@jishnu_msd u will b surprised",FALSE,199,"jishnu_msd",2013-02-01 10:06:06,FALSE,"297284157707517954","297284681601282049","152653374","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",29,FALSE,FALSE,NA,NA
"@hemasri19 my friend told me to go there but was short of time.minimum 4 days r needed to enjoy dubai",FALSE,214,"hemasri19",2013-02-01 10:04:26,FALSE,"297283650469376000","297284263332704256","52968091","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",32,FALSE,FALSE,NA,NA
"@Saachika7 really nice weather.wasn't hot at all.somehow I hve always been to dubai during summers,this time it was different",FALSE,211,"jaiseyy",2013-02-01 10:01:47,FALSE,"297282754670899200","297283596203487232","81365835","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",35,FALSE,FALSE,NA,NA
"Back from dubai,had a nice time.a lot has changed since the last time I was there.lovely place to c exceptional cars and big buildings",FALSE,937,NA,2013-02-01 09:55:34,FALSE,NA,"297282031602262016",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",315,FALSE,FALSE,NA,NA
"Happy republic day wishes for all",FALSE,1097,NA,2013-01-26 03:35:20,FALSE,NA,"295012017926991872",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",524,FALSE,FALSE,NA,NA
"Thumb before the game, much better now http://t.co/1q62e4qx",FALSE,910,NA,2013-01-23 17:21:33,FALSE,NA,"294132779048914944",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",392,FALSE,FALSE,NA,NA
"Great series win in testing conditions,well done to all and thanks a lot for the support.tomorrow off to the beautiful dharamshala stadium",FALSE,1126,NA,2013-01-23 17:10:33,FALSE,NA,"294130007528316928",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",737,FALSE,FALSE,NA,NA
"Prabhu Deva dances cricket style, #DhoolTucker all the http://t.co/eMdaZOi1",FALSE,910,NA,2013-01-09 06:07:50,FALSE,NA,"288889799803293696",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",344,FALSE,FALSE,NA,NA
"She was my fav and first dog, mixed breed german shepard",FALSE,957,NA,2012-12-18 07:56:58,FALSE,NA,"280944730047643648",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",255,FALSE,FALSE,NA,NA
